,Date,Hour,PM2_MIN,PM2_MAX,PM2_AVG
539,2019-09-20,3,23.0,33.0,28.0
540,2019-09-20,4,23.0,33.0,28.0
541,2019-09-20,5,22.0,33.0,27.0
542,2019-09-20,6,22.0,33.0,27.0
543,2019-09-20,7,21.0,33.0,27.0
544,2019-09-20,8,21.0,33.0,27.0
545,2019-09-20,9,21.0,33.0,27.0
546,2019-09-20,10,20.0,33.0,26.0
547,2019-09-20,11,20.0,32.0,26.0
548,2019-09-20,12,20.0,32.0,26.0
549,2019-09-20,13,20.0,32.0,26.0
550,2019-09-20,14,20.0,32.0,26.0
551,2019-09-20,15,20.0,32.0,26.0
552,2019-09-20,16,16.3902506389934,40.161939205167315,27.82311448056951
553,2019-09-20,17,20.0,32.0,26.0
554,2019-09-20,18,20.0,32.0,26.0
555,2019-09-20,19,20.0,31.0,25.0
556,2019-09-20,20,20.0,31.0,25.0
557,2019-09-20,21,20.0,30.0,25.0
558,2019-09-20,22,20.0,29.0,24.0
559,2019-09-20,23,20.0,28.0,24.0
560,2019-09-21,0,20.0,27.0,23.0
561,2019-09-21,1,20.0,26.0,23.0
562,2019-09-21,2,20.0,24.0,22.0
563,2019-09-21,3,20.0,24.0,22.0
564,2019-09-21,4,20.0,24.0,22.0
565,2019-09-21,5,20.0,24.0,22.0
566,2019-09-21,6,20.0,24.0,22.0
567,2019-09-21,7,20.0,24.0,22.0
568,2019-09-21,8,20.0,24.0,22.0
569,2019-09-21,9,20.0,24.0,22.0
570,2019-09-21,10,20.0,24.0,22.0
571,2019-09-21,11,20.0,24.0,22.0
572,2019-09-21,12,20.0,24.0,22.0
573,2019-09-21,13,21.0,24.0,22.0
574,2019-09-21,14,22.0,24.0,23.0
575,2019-09-21,15,22.0,24.0,23.0
576,2019-09-21,16,22.0,24.0,23.0
577,2019-09-21,17,22.0,24.0,23.0
578,2019-09-21,18,22.0,24.0,23.0
579,2019-09-21,19,22.0,24.0,23.0
580,2019-09-21,20,22.0,24.0,23.0
581,2019-09-21,21,22.0,24.0,23.0
582,2019-09-21,22,22.0,24.0,23.0
583,2019-09-21,23,22.0,24.0,23.0
584,2019-09-22,0,21.0,24.0,22.0
585,2019-09-22,1,21.0,24.0,22.0
586,2019-09-22,2,21.0,24.0,22.0
587,2019-09-22,3,20.0,24.0,22.0
588,2019-09-22,4,20.0,24.0,22.0
589,2019-09-22,5,20.0,24.0,22.0
590,2019-09-22,6,19.0,24.0,21.0
591,2019-09-22,7,19.0,24.0,21.0
592,2019-09-22,8,19.0,24.0,21.0
593,2019-09-22,9,19.0,24.0,21.0
